"X","author_id","cohort","gender","discipline","doi_lower","pubyear","Jr_Quantile","n_ctr","n_aff","n_colla_ctr","n_colla_aff","sequence_nr","Original_Tweets","Original_Tweeters","len_tweet","len_tweeter","with_tw","self_pro_old","self_tw_time","self_text","others_first","searched","academic_age","most_ctr","colla_ctr_Y","colla_aff_Y","n_pub_3y","n_pub_1st","n_pub_2nd","n_pub_3rd","n_pub_pro_1st","n_pub_pro_2nd","n_pub_pro_3rd","seq_nr_grp_1","min_tw_time","first_firstauthor","PUBLICATIONYEAR","PUBLICATIONMONTH","PUBLICATIONDAY","pub_order","pub_before","tw_others_num","tw_only_self","tw_only_others","discipline_new_author","author_cnt","coauthor_pro_count","coauthor_pro","with_coauthor","SocialOutlet_count","Edu_count","SocialOutlet_pro","Edu_pro","soc_or_edu_pro","max_coa_fncr_5y","max_coa_age","uniqle_dis","discipline_new_pub","self_pro","chinese_name"
195541,56867923600,2013,"male","Medical and Health Sciences","10.1162/neco_a_00376",2013,"Q1",1,1,1,1,1,1,1,1,1,1,0,"","",1,1,1,"gbr","N","N",2,1,0,1,0,0,0,"first","",1,2013,NA,NA,1,0,1,0,1,"Basic medical research",3,0,0,1,0,0,0,0,0,0,1,NA,"Basic medical research",0,0
204871,55700699700,2013,"female","Natural Sciences","10.1021/bm400041w",2013,"Q1",1,1,1,1,1,0,0,0,0,0,0,"","",0,1,1,"usa","N","N",5,2,2,1,0,0,0,"first","",1,2013,5,13,1,0,0,0,0,"Materials engineering",3,0,0,1,0,0,0,0,0,1.4921892,18,NA,"Materials engineering",0,NA
291434,56324649400,2014,"female","Medical and Health Sciences","10.1111/ijcp.12545",2015,"Q2",1,2,1,2,1,NA,NA,0,0,0,0,"","",0,0,2,"esp","N","Y",3,1,2,0,0,0,0,"first","",1,2015,5,1,2,1,0,0,0,"Clinical medicine",14,0,0,1,0,0,0,0,0,1.2417296,20,NA,"Clinical medicine",0,NA
350978,7401538097,2014,"male","Engineering and Technology","10.1177/1742271x13517694",2014,"Q3",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,1,"gbr","N","N",2,2,0,0,0,0,0,"first","",1,2014,NA,NA,2,1,0,0,0,"Clinical medicine",1,0,0,0,0,0,0,0,0,0,1,NA,"Clinical medicine",0,NA
19827,55981412900,2012,"female","Medical and Health Sciences","10.1590/s0103-64402012000400010",2012,"Q2",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"bra","N","N",1,1,0,0,0,0,0,"first","",1,2012,NA,NA,1,0,0,0,0,"Clinical medicine",4,0,0,1,0,0,0,0,0,0.6096329,16,1,"Clinical medicine",0,NA
99755,55351105200,2012,"male","Natural Sciences","10.1016/j.bpj.2012.07.034",2012,"Q1",1,1,1,1,1,2,1,2,2,1,0,"","",1,1,1,"usa","N","N",3,1,0,2,0,0,0,"first","2012-11-11",1,2012,9,5,1,0,2,0,1,"Biological sciences",6,0,0,1,0,0,0,0,0,1.4670632,17,1,"Biological sciences",0,0
164116,54920197800,2013,"female","Engineering and Technology","10.1002/mop.29324",2015,"Q2",1,1,1,1,1,0,0,0,0,0,0,"","",0,0,3,"gbr","N","N",4,2,0,2,0,0,0,"first","",1,2015,10,1,3,2,0,0,0,"Electrical engineering, electronic engineering,  information engineering ",4,0,0,1,0,0,0,0,0,2.24015525,20,NA,"Electrical engineering, electronic engineering,  information engineering ",0,NA
324845,56112503700,2014,"male","Engineering and Technology","10.1115/1.4028484",2014,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,1,"usa","N","N",4,2,1,1,0,0,0,"first","",1,2014,12,1,2,1,0,0,0,"Other engineering and technologies",5,0,0,1,0,0,0,0,0,4.1307286,7,NA,"Other engineering and technologies",0,NA
240184,24071967900,2013,"female","Natural Sciences","10.4049/jimmunol.1202903",2013,"Q1",1,1,1,1,1,1,1,1,1,1,0,"","",1,1,1,"ita","N","N",6,1,3,2,0,0,0,"first","2013-04-01",1,2013,2,15,1,0,1,0,1,"Biological sciences",6,0,0,1,0,0,0,0,0,1.6610944,18,NA,"Biological sciences",0,0
25262,55367124000,2012,"female","Natural Sciences","10.1016/j.tetlet.2013.02.053",2013,"Q2",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,2,"chn","N","N",5,1,3,1,0,0,0,"first","",1,2013,5,1,3,2,0,0,0,"Chemical sciences",5,0,0,1,0,0,0,0,0,1.65721065,13,NA,"Chemical sciences",0,NA
